,comment_text,toxic
0,already two sentence need shorten talk,0
1,please adopt give rough start wikipedia finish block try deliver disrupt try help made mistake quit deeper thankyou,0
2,statement exactly banner somebody please explain obvious war go g ban contribute talk page one ask medial week ago cometh else snowskinn ask bring arbiter know perfectly one work bring two best cosmolog world look one contribute affair together rigor bogdanovna refute false evil present colt ban ban stand ban hour insult repaeatridli people call rigor bogdanovna bastard time never occur overseer err rule ban x hour present article bidhonen endears friend use wish article contain course peri evil shown constitute major block conspirators argument gang talk page select never insert precious document prove actual connect voter infants whole affair invite friend talking realize arbiter go bishonen block minute protege block see intervene talk page concern insult rib concern cystic empty long comment medial talk page tonight read article see hard fight make sure situate deeper calm spirit make intervene ask rib stop action prove attitude accuse say remove article improve talk page contribute already told interfere anymore talk page unable different like work admit follow rule district work use retail arbitrary judgement time away cometh arrange much even revert use state commit illegitim stuff arbiter use fact medial nicholas trumbull week bad deed snowsnipp know hand never done even insult nicholas trumbull east people agent defend wiki english spot face wikip dia admit behave like sabotor vandalia encourage riot abuse knowledge power undermine action made refrain wrong stop ask medial arbiter commit two week sowspinn action complete legitim swollen medial arbiter request go adopt recognise actual arbiter legitim thereby ask boycott none involve administer anyway part arbiter commit arbiter close debt arena game arbiter suppose hold secret snowspinn know well took unlucky begin idiot done men response mature cannot trust must remove well accept happen tonight absolute reason block certainly day say fuck like happen bring precious evil ban evil confess destroy ye destroy already never time sign totalitarian system wiki english became totalitarian system judge perform judgement proof swollen destroy disturb people threaten mean import say block away say one people repeat non stop one save dream look matter bishonen fr,1
3,listen bag need get life stop edit wikipedia look outside awhile world pass sit try ensue every little word every little article correct vandalia correct inform us favor put vous keyboard wash chest entrust finger get pale fat mass outside walk front traffic never deal,1
4,ok admit,0
5,suck wrong want make article west coach delete even got finish make guess got see anyway cut told go online retreat censor piece cap probably already gone care mess restless hobby cometh lot pain star wrestle kid page believe guy irish player hate fellow irish people hillcrestwrestl,1
6,please vandalia page edit law continue block edit,0
7,thickest still school bet ill come school much better either even thicker child less,1
8,predecessor found past future good joke apcbg tell us bulgaria relate medium bulgaria state chinese state bc state modern china armenia explain common sens like found may also wait new extraterrestri predsuccesor future,0
9,shut indian brother tail take special interest annoy people go harvard shut brain shut,1
10,see link vs star war article myltikru sure thing article gag undervalued talent local really even similar yuri lapitskiy,0
11,email talk,0
